run_date,platform,backend,input_bits,circuit_length,shots,counts_json,success_probability,job_id,job_start_time,job_end_time,qpu_execution_sec,sdk_version,notes
2026-04-20,aqt,ibex,11,1,100,"{""10"": 100}",1.0,41915eed-ecf5-4bbc-8909-8c15d38389ee,,,,1.14.0,
2026-04-20,aqt,ibex,00,2,100,"{""00"": 98, ""11"": 1, ""10"": 1}",0.98,ec4a2a28-3f04-418f-af08-e5f7de7cb2a5,,,,1.14.0,
2026-04-20,aqt,ibex,10,3,100,"{""01"": 98, ""11"": 1, ""10"": 1}",0.98,a297073c-9738-49ba-8455-37454ec2d959,,,,1.14.0,
2026-04-20,aqt,ibex,01,4,100,"{""10"": 97, ""11"": 1, ""00"": 2}",0.97,e3da3958-c146-46ce-b35f-c894ffb7ace4,,,,1.14.0,
2026-04-20,aqt,ibex,10,5,100,"{""10"": 99, ""00"": 1}",0.99,caab8c94-0d26-4663-9fd7-52824d59db5f,,,,1.14.0,
2026-04-20,aqt,ibex,10,6,100,"{""10"": 100}",1.0,c903fe55-bce5-4c39-948c-02391604750f,,,,1.14.0,
2026-04-20,aqt,ibex,00,5,100,"{""00"": 100}",1.0,bd62622f-05a4-4a52-8bd9-d8d8bd581f9b,,,,1.14.0,
2026-04-20,aqt,ibex,11,4,100,"{""01"": 99, ""11"": 1}",0.99,d7b05669-0392-4bcb-8a6f-7f56ac1e6a43,,,,1.14.0,
2026-04-20,aqt,ibex,10,6,100,"{""10"": 99, ""00"": 1}",0.99,bd3a9c0a-4ef8-49a5-8e12-1aa072a261d4,,,,1.14.0,
2026-04-20,aqt,ibex,10,6,100,"{""10"": 99, ""11"": 1}",0.99,a663671e-381f-44ed-a1fa-8c2124b2ecfd,,,,1.14.0,
2026-04-27,aqt,ibex,10,1,100,"{""11"": 99, ""10"": 1}",0.99,bb48bcf1-68a2-4ca3-a32a-5bf585d8adae,,,,1.14.0,
2026-04-27,aqt,ibex,01,2,100,"{""11"": 100}",1.0,0b92328b-b3b8-4042-8a6c-81b924582e80,,,,1.14.0,
2026-04-27,aqt,ibex,01,3,100,"{""10"": 100}",1.0,24f724b5-efc7-4d4a-8f3c-b25754912c09,,,,1.14.0,
2026-04-27,aqt,ibex,11,4,100,"{""01"": 97, ""11"": 2, ""00"": 1}",0.97,0e4b6fea-ec20-4e6b-b9f9-a07e059b6600,,,,1.14.0,
2026-04-27,aqt,ibex,00,5,100,"{""00"": 100}",1.0,8f51ce6e-b7fd-4195-b2b1-a3830852b34c,,,,1.14.0,
2026-04-27,aqt,ibex,00,6,100,"{""00"": 100}",1.0,acf174f8-9eea-4dc5-a2ec-9b40b86cd5a6,,,,1.14.0,
2026-04-27,aqt,ibex,01,1,100,"{""01"": 98, ""11"": 1, ""00"": 1}",0.98,8235d068-b6bb-48c4-b2d3-d63f57caf8d7,,,,1.14.0,
2026-04-27,aqt,ibex,01,2,100,"{""11"": 99, ""00"": 1}",0.99,86e86bba-307e-42c4-b29a-fb564f21eb74,,,,1.14.0,
2026-04-27,aqt,ibex,01,5,100,"{""11"": 99, ""01"": 1}",0.99,b9ae7621-e196-422a-87f8-83d542f97d06,,,,1.14.0,
2026-04-27,aqt,ibex,10,6,100,"{""10"": 100}",1.0,00693d6a-92d9-4d2c-8967-766908a1ee03,,,,1.14.0,
2026-05-04,aqt,ibex,11,1,100,"{""10"": 98, ""00"": 2}",0.98,f18b67cd-fabd-48f4-abd0-88523e5a5f13,,,,1.14.0,
2026-05-04,aqt,ibex,00,2,100,"{""00"": 100}",1.0,a7ca22bc-59c3-4198-accf-e710cb490ae5,,,,1.14.0,
2026-05-04,aqt,ibex,10,3,100,"{""01"": 100}",1.0,223b5f84-0c38-4d91-875a-b315ca0b215a,,,,1.14.0,
2026-05-04,aqt,ibex,11,4,100,"{""01"": 100}",1.0,47b56863-0d8b-4bf0-b781-be288638a4b1,,,,1.14.0,
2026-05-04,aqt,ibex,00,5,100,"{""00"": 100}",1.0,2d30684f-1913-4cdd-875a-b3daeea71ec7,,,,1.14.0,
2026-05-04,aqt,ibex,11,6,100,"{""11"": 100}",1.0,41a3b747-4413-41d9-939e-fb59e9cf49f9,,,,1.14.0,
2026-05-04,aqt,ibex,10,6,100,"{""10"": 99, ""00"": 1}",0.99,1b09b853-00e4-4666-b26c-60dbc75422f6,,,,1.14.0,
2026-05-04,aqt,ibex,10,5,100,"{""10"": 99, ""00"": 1}",0.99,ad50445e-ebcb-47d1-b812-c69ca84d2558,,,,1.14.0,
2026-05-04,aqt,ibex,00,3,100,"{""00"": 96, ""01"": 3, ""10"": 1}",0.96,9060f36d-8467-48d3-ade2-b894dbb266a3,,,,1.14.0,
2026-05-04,aqt,ibex,01,2,100,"{""11"": 99, ""01"": 1}",0.99,7f52e02f-739d-42eb-bf12-7b0384b4be08,,,,1.14.0,
2026-05-12,aqt,ibex,01,1,100,"{""01"": 100}",1.0,c12416f2-df40-4e4e-a3cb-ca42857abc90,,,,1.14.0,
2026-05-12,aqt,ibex,01,2,100,"{""11"": 98, ""01"": 2}",0.98,a6e8e89f-b495-4abd-8e36-4c0192fd8bef,,,,1.14.0,
2026-05-12,aqt,ibex,00,3,100,"{""00"": 96, ""01"": 3, ""10"": 1}",0.96,feebabf8-bde0-4c80-84a9-e19753df1ebb,,,,1.14.0,
2026-05-12,aqt,ibex,11,4,100,"{""01"": 97, ""10"": 2, ""00"": 1}",0.97,4e96347d-1dd6-4974-b264-cb6cc9af0584,,,,1.14.0,
2026-05-12,aqt,ibex,00,5,100,"{""00"": 99, ""10"": 1}",0.99,6d21fd82-4bbf-4099-a982-8164adac3765,,,,1.14.0,
2026-05-12,aqt,ibex,01,6,100,"{""01"": 99, ""00"": 1}",0.99,0812395a-ad18-4e78-a836-1c66b54949db,,,,1.14.0,
2026-05-12,aqt,ibex,11,4,100,"{""01"": 99, ""11"": 1}",0.99,37783078-c625-4e5e-955a-b9f681e0c024,,,,1.14.0,
2026-05-12,aqt,ibex,10,4,100,"{""11"": 96, ""00"": 1, ""10"": 2, ""01"": 1}",0.96,3f5657a6-3a7d-4cb2-9db6-93949be2e41b,,,,1.14.0,
2026-05-12,aqt,ibex,00,4,100,"{""00"": 96, ""10"": 1, ""11"": 2, ""01"": 1}",0.96,c8cc6dc1-b671-4820-9501-97f936298307,,,,1.14.0,
2026-05-12,aqt,ibex,11,4,100,"{""01"": 95, ""10"": 2, ""00"": 2, ""11"": 1}",0.95,c759248a-4d65-426e-ab3b-b7383d88338c,,,,1.14.0,
2026-05-19,aqt,ibex,11,1,100,"{""10"": 100}",1.0,140218d5-f561-42b4-aa15-034b30d891ee,,,,1.14.0,
2026-05-19,aqt,ibex,10,2,100,"{""01"": 99, ""11"": 1}",0.99,1b513bc1-b695-4861-9fe4-f102584d6717,,,,1.14.0,
2026-05-19,aqt,ibex,11,3,100,"{""11"": 96, ""01"": 2, ""10"": 1, ""00"": 1}",0.96,1df74168-8210-45fc-9773-aab14c486c4e,,,,1.14.0,
2026-05-19,aqt,ibex,00,4,100,"{""00"": 99, ""01"": 1}",0.99,fd49e03e-567e-4e5f-ae88-14a7fc1c4740,,,,1.14.0,
2026-05-19,aqt,ibex,00,5,100,"{""00"": 98, ""10"": 1, ""01"": 1}",0.98,5d22b23d-e2ca-4031-9dcb-84ae03b6fa6e,,,,1.14.0,
2026-05-19,aqt,ibex,00,6,100,"{""00"": 100}",1.0,5d6488c1-6f5b-4fa1-963e-9211600c1fd4,,,,1.14.0,
2026-05-19,aqt,ibex,00,3,100,"{""00"": 98, ""10"": 1, ""11"": 1}",0.98,8f704fd3-9203-4b7c-ae7e-64fcb2ab4538,,,,1.14.0,
2026-05-19,aqt,ibex,10,2,100,"{""01"": 98, ""11"": 1, ""10"": 1}",0.98,cb981c09-4c44-43cc-935e-30e98f96dae1,,,,1.14.0,
2026-05-19,aqt,ibex,00,5,100,"{""10"": 1, ""00"": 99}",0.99,bb38851c-c9ec-4260-8f6c-b9c908c6ac16,,,,1.14.0,
2026-05-19,aqt,ibex,00,1,100,"{""00"": 98, ""01"": 2}",0.98,f7b0c51b-84de-4f54-81e8-b5fed69ec334,,,,1.14.0,
2026-06-02,aqt,ibex,01,1,100,"{""01"": 100}",1.0,635e0ff2-3fda-4aaa-b513-804975c075ae,,,,1.14.0,
2026-06-02,aqt,ibex,11,2,100,"{""10"": 99, ""01"": 1}",0.99,3b007a83-04ed-4d7f-bca3-c60a562e05ab,,,,1.14.0,
2026-06-02,aqt,ibex,01,3,100,"{""10"": 99, ""00"": 1}",0.99,c065e87a-8176-4f09-bbb5-294246467544,,,,1.14.0,
2026-06-02,aqt,ibex,01,4,100,"{""10"": 96, ""01"": 3, ""00"": 1}",0.96,2577b164-8121-4ea4-a4f7-fa7fe1c62737,,,,1.14.0,
2026-06-02,aqt,ibex,10,5,100,"{""10"": 99, ""00"": 1}",0.99,fd6a77e4-cc24-48e1-9120-7cb015a55d4c,,,,1.14.0,
2026-06-02,aqt,ibex,11,6,100,"{""11"": 99, ""01"": 1}",0.99,04b4011d-7719-4366-9277-2edea06b9098,,,,1.14.0,
